# 3D Evrard collapse
# Equivalent 1D problem with 1000 cell co-moving grid
# t = 0.85
# radius	density	radial velocity	pressure
5.59761e-05	5494.81	-7.17338e-05	291.865
0.000167943	5463.61	4.46639e-05	290.043
0.000279904	5313.58	-8.60734e-05	287.074
0.000391886	4912.1	-1.26077e-05	282.805
0.000503877	4083.25	-6.40766e-05	278.149
0.000615889	2964.64	-5.43407e-05	274.023
0.000727922	2202.32	8.83103e-07	270.883
0.000839968	1791.4	3.5295e-05	268.496
0.000952022	1550.73	5.04289e-05	266.545
0.00106408	1395.11	5.55094e-05	264.863
0.00117615	1286.27	5.48846e-05	263.355
0.00128823	1204.25	5.16628e-05	261.968
0.00140032	1137.69	4.71547e-05	260.667
0.00151243	1080.44	4.2271e-05	259.433
0.00162456	1029.43	3.75093e-05	258.253
0.00173671	983.202	3.31515e-05	257.119
0.00184888	941.185	2.93133e-05	256.027
0.00196108	903.282	2.59984e-05	254.969
0.00207331	869.536	2.31171e-05	253.943
0.00218557	839.811	2.05403e-05	252.943
0.00229787	813.688	1.81559e-05	251.966
0.0024102	790.542	1.58915e-05	251.007
0.00252257	769.684	1.37132e-05	250.063
0.00263499	750.463	1.16243e-05	249.133
0.00274745	732.366	9.65811e-06	248.215
0.00285995	715.094	7.8579e-06	247.308
0.0029725	698.567	6.24732e-06	246.412
0.00308511	682.818	4.82338e-06	245.525
0.00319776	667.888	3.56654e-06	244.648
0.00331048	653.773	2.4541e-06	243.78
0.00342325	640.423	1.47016e-06	242.92
0.00353607	627.775	6.08269e-07	242.068
0.00364897	615.797	-1.34084e-07	241.223
0.00376192	604.493	-7.66389e-07	240.385
0.00387494	593.874	-1.31221e-06	239.553
0.00398803	583.895	-1.802e-06	238.727
0.00410119	574.434	-2.25476e-06	237.906
0.00421442	565.327	-2.66631e-06	237.089
0.00432772	556.453	-3.01623e-06	236.277
0.0044411	547.782	-3.2859e-06	235.47
0.00455456	539.358	-3.47156e-06	234.668
0.0046681	531.239	-3.58463e-06	233.87
0.00478172	523.444	-3.64382e-06	233.076
0.00489543	515.936	-3.65963e-06	232.286
0.00500922	508.644	-3.63125e-06	231.501
0.0051231	501.521	-3.54608e-06	230.719
0.00523707	494.576	-3.39241e-06	229.941
0.00535113	487.865	-3.17258e-06	229.168
0.00546529	481.444	-2.90212e-06	228.398
0.00557954	475.322	-2.5981e-06	227.631
0.00569389	469.461	-2.26866e-06	226.868
0.00580833	463.81	-1.91271e-06	226.108
0.00592288	458.339	-1.52708e-06	225.35
